Player,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Gls,Ast,crdY,crdR,xG,xAG,PrgC,PrgP,PrgR,Gls per 90,Ast per 90,xG per 90,xAG per 90,GA90,Save%,CS%,PK Save%,SoT%,SoT per 90,G per Sh,Dist,Cmp,Cmp%,TotDist,ShortCmp%,MedCmp%,LongCmp%,KP,Pass into 1_3,PPA,CrsPA,SCA,SCA90,GCA,GCA90,Tkl,TklW,Deff Att,Lost,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Take-Ons Att,Succ%,Tkld%,Carries,ProDist,Carries 1_3,CPA,Mis,Dis,Rec,Rec PrgR,Fls,Fld,Off,Crs,Recov,Aerl Won,Aerl Lost,Aerl Won%
João Gomes,BRA,Wolves,MF,24.21,32,32,2691,3,1,10,1,2.7,1.1,53,146,66,0.1,0.03,0.09,0.04,,,,,21.2,0.23,0.09,18.1,1233,85.0,17654,90.9,85.8,61.0,21,106,22,1,61.0,2.04,3.0,0.1,99,58,97,59,39,3,36,25,1789,55,380,987,448,41,56,46.4,42.9,935,2578,50,6,36,49,1200,66,65,39,1,27,174,9,24,27.3
João Pedro,BRA,Brighton,"FW,MF",23.59,27,23,1948,10,6,4,1,8.9,5.0,66,78,128,0.46,0.28,0.41,0.23,,,,,35.7,0.69,0.12,17.2,482,72.9,6847,78.7,75.1,65.9,30,42,36,5,72.0,3.32,9.0,0.42,16,12,11,7,12,0,12,9,940,12,60,387,508,122,86,33.7,54.7,616,1821,39,30,72,38,732,128,26,46,2,22,59,41,43,48.8
Joël Veltman,NED,Brighton,DF,33.29,19,19,1643,0,0,4,0,0.5,0.5,29,79,32,0.0,0.0,0.03,0.03,,,,,16.7,0.05,0.0,19.7,716,80.0,12082,89.8,80.6,63.3,6,61,8,5,22.0,1.21,1.0,0.05,42,28,51,21,22,7,15,18,1097,64,327,540,240,10,15,26.7,33.3,524,1414,22,3,19,7,598,32,26,42,0,23,67,21,18,53.8
Joško Gvardiol,CRO,Manchester City,DF,23.27,33,32,2917,5,0,2,0,4.4,2.0,78,240,96,0.15,0.0,0.13,0.06,,,,,29.7,0.34,0.14,13.0,2240,90.9,36418,94.3,93.1,67.9,25,225,19,1,69.0,2.13,7.0,0.22,51,34,37,18,39,19,20,36,2808,141,703,1412,716,85,40,57.5,35.0,1826,5505,91,13,24,16,2062,96,13,21,2,19,130,48,33,59.3
Jurriën Timber,NED,Arsenal,DF,23.87,30,27,2417,1,3,7,0,1.2,0.8,57,146,104,0.04,0.11,0.05,0.03,,,,,28.6,0.15,0.07,14.1,1194,85.6,17327,91.0,86.0,52.9,17,107,17,2,52.0,1.94,9.0,0.34,58,38,27,9,19,4,15,22,1661,51,304,859,505,66,53,45.3,45.3,890,2076,27,11,33,24,1052,104,31,29,6,28,94,22,20,52.4
Justin Kluivert,NED,Bournemouth,"MF,FW",25.99,30,26,2097,12,6,8,0,9.9,4.8,72,95,146,0.52,0.26,0.42,0.21,,,,,43.1,0.94,0.12,20.3,516,74.2,7951,83.4,76.1,54.4,45,40,32,6,94.0,4.03,11.0,0.47,21,9,20,16,24,0,24,13,969,23,93,327,569,115,82,40.2,47.6,576,2092,50,34,49,24,631,146,40,29,5,78,71,7,25,21.9
Jørgen Strand Larsen,NOR,Wolves,FW,25.23,32,29,2463,13,2,4,0,10.0,2.4,16,28,106,0.48,0.07,0.37,0.09,,,,,60.4,1.17,0.25,11.4,272,63.1,3547,70.5,63.2,70.0,19,18,4,1,40.0,1.46,5.0,0.18,9,6,27,23,18,4,14,5,695,34,83,329,284,104,17,41.2,58.8,328,446,13,9,88,32,507,106,46,18,14,6,42,66,96,40.7
Kai Havertz,GER,Arsenal,"FW,MF",25.88,21,21,1839,9,3,4,0,9.4,2.4,34,59,110,0.44,0.15,0.46,0.12,,,,,40.4,1.03,0.17,11.7,401,78.5,4833,84.1,82.5,45.5,16,26,8,1,41.0,2.01,3.0,0.15,16,9,15,11,22,4,18,6,768,31,88,282,403,103,38,23.7,63.2,411,922,23,18,42,22,575,110,36,21,14,11,39,62,73,45.9
Kalvin Phillips,ENG,Ipswich Town,MF,29.41,18,14,1214,0,0,6,1,0.4,0.2,4,49,4,0.0,0.0,0.03,0.02,,,,,20.0,0.15,0.0,24.2,426,79.3,8392,82.9,86.6,62.1,5,48,6,1,17.0,1.26,3.0,0.22,34,19,38,23,35,6,29,19,722,60,220,388,118,4,12,41.7,50.0,302,541,5,0,24,10,383,4,28,19,0,18,68,7,21,25.0
Kamaldeen Sulemana,GHA,Southampton,"FW,MF",23.2,22,13,1122,1,1,1,0,1.3,0.7,56,25,72,0.08,0.08,0.11,0.06,,,,,32.0,0.64,0.04,18.5,235,79.1,3417,89.7,81.6,42.3,9,6,11,6,27.0,2.17,3.0,0.24,16,14,13,5,9,0,9,6,483,13,64,178,259,48,91,36.3,54.9,313,1369,34,23,37,22,338,72,18,10,2,24,51,8,20,28.6
Kaoru Mitoma,JPN,Brighton,"FW,MF",27.95,33,28,2521,9,3,1,0,8.8,4.4,138,82,277,0.32,0.11,0.31,0.16,,,,,46.3,0.89,0.17,13.9,701,75.3,9130,86.9,70.5,44.0,35,34,32,8,83.0,2.96,8.0,0.29,43,26,46,28,46,3,43,13,1300,15,149,445,734,156,127,38.6,57.5,786,3663,76,55,49,22,911,277,39,23,5,72,92,24,27,47.1
Keane Lewis-Potter,ENG,Brentford,"DF,FW",24.18,33,31,2714,1,3,5,0,2.6,3.0,92,88,143,0.03,0.1,0.08,0.1,,,,,51.9,0.46,0.04,20.5,858,77.2,14139,89.4,79.0,49.7,22,56,40,14,65.0,2.16,8.0,0.27,44,26,42,16,24,9,15,19,1414,93,430,542,460,69,94,40.4,50.0,747,2921,61,34,42,18,835,143,14,27,4,67,131,26,33,44.1
Kenny Tete,NED,Fulham,DF,29.56,18,17,1438,0,2,3,0,1.2,0.9,33,46,45,0.0,0.13,0.08,0.05,,,,,9.1,0.13,0.0,16.1,645,81.2,10261,91.7,80.0,60.2,7,56,7,5,30.0,1.88,3.0,0.19,49,34,32,12,20,6,14,28,997,57,320,407,278,32,19,42.1,31.6,520,1210,20,7,16,10,575,45,25,14,0,26,61,18,12,60.0
Kepa Arrizabalaga,ESP,Bournemouth,GK,30.57,27,27,2430,0,0,3,0,0.1,0.0,0,2,0,0.0,0.0,0.0,0.0,1.26,75.4,25.9,0.0,0.0,0.0,0.0,9.7,636,71.5,17590,98.0,98.2,46.9,1,9,0,0,4.0,0.15,0.0,0.0,1,0,1,1,1,0,1,0,945,695,918,26,1,1,1,100.0,0.0,534,1529,0,0,0,0,413,0,2,5,0,0,48,7,1,87.5
Kevin De Bruyne,BEL,Manchester City,"MF,FW",33.84,24,16,1455,3,7,2,0,3.4,7.6,47,128,132,0.19,0.43,0.21,0.47,,,,,27.1,0.8,0.06,21.9,756,75.6,12912,85.1,76.7,58.1,51,75,48,10,101.0,6.24,11.0,0.68,15,8,21,17,8,0,8,7,1153,10,70,391,702,66,30,40.0,46.7,677,1825,43,18,24,25,862,132,14,16,5,115,53,4,14,22.2
Kevin Schade,GER,Brentford,FW,23.42,33,21,1931,7,2,3,0,6.2,3.3,54,32,139,0.33,0.09,0.29,0.16,,,,,42.2,0.89,0.16,11.9,279,58.7,4339,69.2,60.1,41.5,19,29,9,3,46.0,2.15,8.0,0.37,34,23,20,8,14,2,12,5,757,37,124,209,439,121,75,34.7,57.3,382,1236,26,33,48,33,468,139,19,31,13,36,71,75,62,54.7
Kieran Trippier,ENG,Newcastle Utd,DF,34.61,23,13,1192,0,3,1,0,0.1,1.3,25,106,52,0.0,0.23,0.01,0.1,,,,,0.0,0.0,0.0,22.2,942,82.1,16029,94.1,85.4,47.8,19,65,17,2,49.0,3.7,6.0,0.45,36,19,34,13,9,3,6,11,1267,45,354,550,371,12,7,57.1,42.9,562,1139,13,4,11,7,780,52,16,10,2,74,61,19,14,57.6
Kobbie Mainoo,ENG,Manchester Utd,MF,20.03,21,17,1416,0,0,5,0,0.6,1.6,21,56,38,0.0,0.0,0.04,0.1,,,,,15.4,0.13,0.0,20.8,627,86.1,8304,91.9,87.7,71.8,14,45,9,0,29.0,1.84,1.0,0.06,39,24,34,13,16,2,14,19,924,19,175,523,235,32,46,50.0,45.7,568,1089,14,10,30,32,656,38,26,19,2,4,77,18,27,40.0
Konstantinos Mavropanos,GRE,West Ham,DF,27.38,30,20,1944,0,0,6,1,1.5,0.5,16,60,2,0.0,0.0,0.07,0.02,,,,,27.8,0.23,0.0,14.8,1010,85.9,19926,91.2,92.3,58.4,5,60,4,1,16.0,0.74,0.0,0.0,32,22,25,11,23,17,6,38,1428,221,743,631,62,24,17,52.9,29.4,792,2123,10,1,12,0,934,2,17,14,3,2,67,56,24,70.0
Kristoffer Ajer,NOR,Brentford,DF,27.04,20,17,1388,0,0,4,0,0.8,1.2,27,52,42,0.0,0.0,0.05,0.08,,,,,37.5,0.19,0.0,10.2,482,78.2,7521,86.8,79.7,49.1,8,41,7,4,18.0,1.17,2.0,0.13,24,16,26,12,17,4,13,12,762,51,255,355,158,35,16,43.8,50.0,373,1164,11,2,15,12,475,42,11,6,1,14,41,27,22,55.1
Kyle Walker,ENG,Manchester City,DF,34.92,15,9,970,0,0,3,0,0.1,0.4,12,64,11,0.0,0.0,0.01,0.04,,,,,40.0,0.19,0.0,27.7,724,87.7,11928,94.6,91.3,51.2,7,63,7,4,17.0,1.58,0.0,0.0,17,10,26,12,13,4,9,3,892,26,197,473,228,5,6,50.0,33.3,499,1106,13,0,9,2,630,11,6,5,1,14,46,9,7,56.3
Kyle Walker-Peters,ENG,Southampton,DF,28.05,32,32,2828,0,2,5,0,0.8,2.7,112,134,139,0.0,0.06,0.03,0.09,,,,,30.0,0.19,0.0,18.3,1450,88.0,21806,93.8,89.7,60.4,23,117,29,4,62.0,1.97,7.0,0.22,43,28,34,18,25,14,11,18,1970,149,603,854,529,58,90,41.1,43.3,1228,4264,69,23,32,38,1391,139,28,49,2,51,130,11,21,34.4
Leandro Trossard,BEL,Arsenal,FW,30.4,34,25,2264,8,5,4,1,6.6,5.1,71,91,202,0.32,0.2,0.26,0.2,,,,,30.3,0.8,0.12,16.0,616,73.6,10098,84.8,76.0,51.2,36,40,41,9,78.0,3.1,6.0,0.24,25,16,31,22,28,0,28,9,1118,15,117,350,667,137,70,41.4,44.3,710,1879,47,27,53,42,836,202,24,41,5,78,90,6,21,22.2
Leif Davis,ENG,Ipswich Town,DF,25.3,31,30,2563,1,2,5,1,0.9,4.3,48,55,117,0.04,0.07,0.03,0.15,,,,,14.3,0.07,0.07,20.4,854,71.5,14708,86.0,77.4,37.3,54,30,26,11,85.0,2.98,4.0,0.14,45,26,46,17,24,8,16,25,1459,115,517,484,477,36,37,35.1,45.9,659,1940,27,10,36,14,770,117,25,30,3,148,111,33,22,60.0
Leny Yoro,FRA,Manchester Utd,DF,19.46,19,11,1069,0,0,5,0,0.7,0.0,19,48,4,0.0,0.0,0.06,0.0,,,,,20.0,0.08,0.0,8.6,642,92.2,10301,95.5,93.9,65.0,1,43,4,1,7.0,0.59,0.0,0.0,25,10,17,6,5,3,2,17,814,80,378,377,61,13,3,33.3,66.7,553,1557,11,1,3,2,588,4,9,2,1,1,41,16,15,51.6
Leon Bailey,JAM,Aston Villa,"FW,MF",27.72,23,14,1138,1,2,3,0,1.7,1.5,57,35,121,0.08,0.16,0.14,0.12,,,,,21.4,0.47,0.04,17.3,273,70.7,4275,81.4,81.1,47.4,16,16,20,2,38.0,3.01,4.0,0.32,6,4,10,8,6,0,6,3,539,18,76,155,318,69,57,38.6,42.1,344,1334,22,33,35,25,386,121,12,18,3,34,59,6,9,40.0
Lesley Ugochukwu,FRA,Southampton,MF,21.1,23,15,1447,1,1,5,0,0.8,1.0,27,48,20,0.06,0.06,0.05,0.06,,,,,11.1,0.06,0.11,18.4,536,84.5,8330,87.5,91.9,57.1,14,50,6,1,23.0,1.43,1.0,0.06,46,22,32,15,25,9,16,12,793,45,191,446,162,23,26,69.2,26.9,431,1122,14,6,12,10,538,20,26,14,0,6,59,18,17,51.4
Levi Colwill,ENG,Chelsea,DF,22.17,31,31,2789,1,1,8,0,1.3,1.1,13,124,11,0.03,0.03,0.04,0.04,,,,,18.8,0.1,0.06,9.9,2167,89.6,39487,92.7,95.3,57.7,14,144,7,3,37.0,1.19,3.0,0.1,40,28,25,9,34,24,10,31,2669,330,1241,1310,128,35,10,60.0,40.0,1526,3857,11,1,13,8,1964,11,42,18,4,13,108,76,51,59.8
Lewis Cook,ENG,Bournemouth,"MF,DF",28.24,33,29,2726,1,3,8,0,0.9,4.1,33,152,48,0.03,0.1,0.03,0.14,,,,,28.6,0.13,0.07,23.4,1131,76.5,19703,84.6,84.8,45.4,47,149,25,10,86.0,2.84,5.0,0.17,77,41,65,30,28,10,18,40,1776,82,416,930,449,19,17,58.8,41.2,779,2102,28,4,29,16,888,48,46,10,3,126,178,40,34,54.1
Lewis Dunk,ENG,Brighton,DF,33.44,24,22,1993,0,0,5,0,0.8,0.5,20,142,3,0.0,0.0,0.04,0.02,,,,,25.0,0.14,0.0,12.1,1724,90.9,32037,96.2,95.1,62.5,6,154,6,0,19.0,0.86,3.0,0.14,17,10,19,8,26,17,9,12,2062,245,966,994,112,21,1,0.0,100.0,1302,3247,18,0,8,3,1509,3,7,10,2,5,102,49,30,62.0
Lewis Hall,ENG,Newcastle Utd,DF,20.64,27,24,2189,0,4,3,0,0.4,4.3,41,123,80,0.0,0.16,0.02,0.18,,,,,9.1,0.04,0.0,18.8,1300,81.7,21999,91.3,85.1,51.5,34,114,17,5,63.0,2.59,6.0,0.25,58,41,74,34,33,18,15,18,1820,95,623,804,414,47,21,52.4,33.3,950,2358,22,13,33,20,1094,80,9,21,1,110,119,30,31,49.2
Liam Delap,ENG,Ipswich Town,FW,22.22,33,30,2424,12,2,9,0,9.1,1.9,59,30,104,0.45,0.07,0.34,0.07,,,,,43.5,1.0,0.16,15.9,208,61.0,2873,70.3,63.1,39.1,20,16,6,0,60.0,2.23,7.0,0.26,10,7,14,12,8,0,8,2,647,29,78,270,320,87,82,46.3,42.7,424,1511,45,28,96,55,507,104,65,48,13,5,64,52,67,43.7
Lisandro Martínez,ARG,Manchester Utd,DF,27.28,20,20,1751,2,1,7,0,1.3,1.1,23,117,7,0.1,0.05,0.07,0.06,,,,,35.3,0.31,0.12,15.9,1200,89.4,20292,94.2,93.0,55.2,9,91,18,2,26.0,1.34,2.0,0.1,40,24,36,15,22,8,14,32,1524,156,713,697,125,18,7,85.7,14.3,1017,3129,23,2,1,3,1069,7,22,7,0,9,81,16,13,55.2
Lucas Bergvall,SWE,Tottenham,MF,19.24,27,11,1212,0,1,3,0,0.7,0.6,33,49,31,0.0,0.07,0.05,0.04,,,,,16.7,0.15,0.0,19.9,629,87.4,10567,91.9,89.8,74.6,11,53,7,3,22.0,1.63,4.0,0.3,39,19,32,15,18,8,10,24,885,36,188,478,232,22,45,46.7,44.4,531,1634,21,4,20,19,586,31,20,17,0,21,73,9,8,52.9
Lucas Digne,FRA,Aston Villa,DF,31.78,30,27,2241,0,4,4,0,0.8,4.4,23,54,140,0.0,0.16,0.03,0.17,,,,,23.1,0.12,0.0,22.7,924,75.0,14998,88.2,78.6,39.7,35,43,29,18,63.0,2.53,5.0,0.2,62,36,62,20,23,4,19,25,1473,90,510,449,524,28,19,47.4,47.4,669,1319,14,4,17,15,804,140,20,14,7,138,98,34,26,56.7
Lucas Paquetá,BRA,West Ham,"MF,FW",27.67,30,26,2257,4,0,8,0,5.2,3.0,20,140,82,0.16,0.0,0.21,0.12,,,,,7.9,0.12,0.05,19.6,1047,77.4,17297,84.0,79.3,63.5,35,121,41,4,78.0,3.11,6.0,0.24,63,35,49,25,27,4,23,17,1672,58,338,919,428,56,42,40.5,47.6,862,1255,31,2,51,50,1181,82,49,57,6,28,140,47,57,45.2
Luis Díaz,COL,Liverpool,FW,28.29,33,26,2225,12,5,2,0,10.0,4.9,103,103,269,0.49,0.2,0.4,0.2,,,,,41.5,1.09,0.18,13.5,697,84.3,11124,88.6,86.0,82.4,54,45,43,6,116.0,4.69,16.0,0.65,33,21,34,21,18,0,18,7,1109,15,78,382,668,155,111,45.9,43.2,733,2803,53,55,51,43,878,269,48,30,10,30,98,12,33,26.7
Luke Woolfenden,ENG,Ipswich Town,DF,26.52,14,11,1097,0,0,2,0,0.0,0.0,7,15,0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,12.9,450,87.7,8278,96.6,93.4,52.2,0,27,0,0,2.0,0.16,0.0,0.0,9,6,5,3,21,14,7,18,638,139,365,264,9,3,0,,,341,1165,3,0,4,0,399,0,5,2,1,0,35,15,12,55.6
Mads Hermansen,DEN,Leicester City,GK,24.8,27,27,2385,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.19,64.5,3.7,25.0,,0.0,,,654,61.0,17066,97.4,94.8,32.7,0,20,1,0,3.0,0.11,0.0,0.0,1,1,1,0,1,0,1,0,1147,831,1106,43,0,0,1,100.0,0.0,734,1904,0,0,1,0,625,0,0,3,0,0,17,4,1,80.0
Mads Roerslev,DEN,Brentford,DF,25.85,19,11,1101,0,2,2,0,0.2,3.0,17,51,54,0.0,0.16,0.02,0.24,,,,,40.0,0.16,0.0,20.8,422,78.7,6925,88.0,79.9,55.1,14,37,11,4,21.0,1.72,2.0,0.16,18,8,28,17,12,5,7,4,645,49,234,268,146,20,19,36.8,42.1,352,858,13,0,9,6,407,54,6,10,0,31,39,10,14,41.7
Malo Gusto,FRA,Chelsea,DF,21.95,28,19,1819,0,1,4,0,1.7,1.2,48,118,84,0.0,0.05,0.08,0.06,,,,,18.2,0.2,0.0,21.3,1168,86.4,19089,93.1,88.2,61.3,20,107,18,6,56.0,2.77,4.0,0.2,43,28,47,23,29,8,21,23,1553,57,375,752,438,42,15,26.7,66.7,861,2170,35,8,16,17,1047,84,20,18,2,51,114,8,15,34.8
Manuel Akanji,SUI,Manchester City,DF,29.78,22,20,1711,0,0,3,0,0.7,0.4,38,135,6,0.0,0.0,0.04,0.02,,,,,10.0,0.05,0.0,16.3,1395,93.9,22867,95.9,95.5,73.9,9,150,11,2,34.0,1.79,2.0,0.11,15,10,12,5,11,8,3,7,1598,108,472,776,352,11,2,100.0,0.0,1044,3286,52,0,4,5,1264,6,16,9,0,11,86,24,29,45.3
Manuel Ugarte Ribeiro,URU,Manchester Utd,MF,24.05,26,20,1616,1,1,9,0,1.0,1.1,12,55,19,0.06,0.06,0.05,0.06,,,,,16.7,0.17,0.06,22.0,715,87.5,11713,89.2,93.3,74.0,9,52,9,3,30.0,1.67,3.0,0.17,70,43,60,35,27,3,24,25,1047,40,300,575,190,15,31,54.8,32.3,599,1155,12,1,29,24,650,19,35,31,0,7,111,17,18,48.6
Marc Cucurella,ESP,Chelsea,DF,26.77,32,29,2628,4,1,10,1,2.6,1.9,30,104,108,0.14,0.03,0.09,0.06,,,,,40.9,0.31,0.18,16.5,1529,88.0,24117,93.9,90.0,57.4,18,108,12,3,46.0,1.58,5.0,0.17,58,38,50,25,40,13,27,23,2014,100,603,933,486,72,13,30.8,53.8,864,2105,17,2,26,6,1259,108,33,32,3,29,110,29,51,36.3
Marc Guéhi,ENG,Crystal Palace,DF,24.8,32,32,2879,3,2,9,1,1.9,1.2,22,126,8,0.09,0.06,0.06,0.04,,,,,50.0,0.22,0.21,10.3,1377,83.3,26335,91.1,88.8,55.3,12,127,11,3,38.0,1.19,5.0,0.16,56,31,45,15,53,22,31,25,1994,292,987,881,137,31,14,78.6,14.3,1065,2804,17,1,16,16,1243,8,22,26,1,13,135,66,50,56.9
Marcos Senesi,ARG,Bournemouth,DF,27.97,15,12,1014,0,0,5,0,0.8,0.2,12,51,5,0.0,0.0,0.07,0.02,,,,,0.0,0.0,0.0,6.0,493,76.6,10211,88.0,85.9,49.7,3,73,12,3,16.0,1.42,1.0,0.09,35,21,30,16,15,7,8,11,783,67,349,376,67,12,9,55.6,44.4,483,1465,14,0,6,5,493,5,19,7,0,10,67,23,27,46.0
Marcus Rashford,ENG,Manchester Utd,"FW,MF",27.5,15,12,978,4,1,2,0,1.7,2.1,20,21,79,0.37,0.09,0.16,0.19,,,,,56.3,0.83,0.25,16.4,253,73.8,3508,83.6,65.9,50.0,15,13,16,8,29.0,2.67,1.0,0.09,7,4,9,6,8,0,8,4,440,3,35,189,222,34,39,23.1,66.7,293,728,19,12,14,6,341,79,8,7,7,27,24,5,7,41.7
Marcus Tavernier,ENG,Bournemouth,"FW,MF",26.11,25,16,1580,3,5,5,0,5.2,2.8,39,99,103,0.17,0.28,0.3,0.16,,,,,31.3,0.85,0.06,20.5,530,72.4,8961,85.9,78.2,43.6,36,61,29,9,82.0,4.67,10.0,0.57,39,23,25,16,15,3,12,4,956,18,108,358,511,49,52,42.3,51.9,540,1569,37,7,36,43,612,103,25,20,4,89,96,24,31,43.6
Mario Lemina,GAB,Wolves,"MF,DF",31.66,17,15,1364,1,3,4,0,1.4,1.1,8,48,21,0.07,0.2,0.09,0.07,,,,,27.8,0.33,0.06,21.9,493,80.4,9479,85.0,87.7,61.1,10,43,13,4,26.0,1.71,5.0,0.33,51,31,29,9,12,7,5,27,809,92,324,378,119,18,16,62.5,25.0,382,1038,12,2,21,11,482,21,17,8,4,10,73,25,16,61.0
Mark Flekken,NED,Brentford,GK,31.88,32,32,2825,0,1,1,0,0.0,0.2,0,0,0,0.0,0.03,0.0,0.01,1.53,73.3,15.6,0.0,,0.0,,,1113,73.3,32882,97.8,97.4,50.1,2,44,2,0,7.0,0.22,1.0,0.03,4,4,9,6,2,0,2,0,1616,1261,1569,52,0,0,1,100.0,0.0,987,2803,0,0,3,0,905,0,0,3,0,0,35,4,0,100.0
Martin Ødegaard,NOR,Arsenal,MF,26.37,26,23,2040,2,6,4,0,4.4,4.6,79,231,142,0.09,0.26,0.2,0.2,,,,,31.7,0.57,0.02,18.7,1099,82.6,17070,90.3,87.1,53.0,56,115,78,5,112.0,4.95,13.0,0.57,19,11,24,20,4,0,4,4,1494,6,98,625,785,104,54,40.7,55.6,1031,3279,72,23,28,38,1188,142,10,20,1,80,86,8,7,53.3
Mateo Kovačić,CRO,Manchester City,MF,30.98,28,22,1960,6,1,5,0,1.7,3.5,51,142,15,0.28,0.05,0.08,0.16,,,,,31.6,0.55,0.16,22.2,1523,92.5,23541,95.0,95.6,62.5,28,178,27,0,59.0,2.71,6.0,0.28,61,36,59,32,19,0,19,20,1859,48,274,1063,543,16,38,52.6,28.9,1259,3432,71,3,16,29,1506,15,22,22,0,0,109,9,7,56.3
Mateus Fernandes,POR,Southampton,MF,20.81,32,30,2584,2,3,8,0,3.7,2.6,72,130,99,0.07,0.1,0.13,0.09,,,,,36.8,0.49,0.05,18.6,977,79.7,16522,87.9,85.4,54.9,30,89,21,4,68.0,2.37,6.0,0.21,81,43,61,31,39,5,34,21,1577,57,336,774,503,45,96,44.8,45.8,814,2926,65,8,50,33,976,99,40,52,3,102,162,13,9,59.1
Matheus Cunha,BRA,Wolves,"MF,FW",25.93,29,26,2341,15,6,3,0,7.9,7.3,103,129,144,0.58,0.23,0.3,0.28,,,,,42.1,1.54,0.16,20.6,727,72.0,11575,85.3,75.8,45.6,51,88,54,10,117.0,4.5,16.0,0.62,35,21,35,24,19,1,18,16,1393,22,171,643,627,113,126,45.2,43.7,800,3062,88,35,70,47,939,144,39,69,8,120,120,10,27,27.0
Matheus Nunes,POR,Manchester City,"DF,MF",26.67,23,16,1404,1,5,4,0,0.9,4.2,56,66,151,0.06,0.32,0.06,0.27,,,,,42.9,0.19,0.14,18.3,885,86.5,13810,91.4,88.7,66.2,21,43,25,7,39.0,2.5,6.0,0.38,28,18,31,18,14,3,11,12,1166,35,207,442,522,53,33,45.5,39.4,717,1991,26,22,27,11,842,151,28,14,6,37,57,13,15,46.4
Matt Doherty,IRL,Wolves,DF,33.28,27,22,1901,2,1,6,0,1.0,1.5,29,75,39,0.09,0.05,0.05,0.07,,,,,30.0,0.14,0.2,11.4,974,82.6,18234,90.1,86.7,62.4,11,87,14,1,24.0,1.14,3.0,0.14,36,20,22,7,26,15,11,21,1394,115,542,690,179,25,20,55.0,30.0,730,2034,19,4,11,5,883,39,18,11,2,18,98,48,19,71.6
Matthijs de Ligt,NED,Manchester Utd,DF,25.72,28,24,2089,2,0,3,0,2.5,0.3,7,55,6,0.09,0.0,0.11,0.01,,,,,50.0,0.39,0.11,7.9,1225,90.1,21549,94.1,94.5,50.5,6,63,2,1,14.0,0.6,1.0,0.04,30,22,32,9,29,21,8,33,1584,181,813,722,56,29,4,50.0,50.0,1063,2219,3,0,5,3,1142,6,16,12,2,6,66,57,29,66.3
Matty Cash,POL,Aston Villa,DF,27.73,23,20,1710,1,1,6,0,0.3,1.1,44,38,70,0.05,0.05,0.02,0.06,,,,,40.0,0.21,0.1,19.0,607,78.6,10099,89.7,79.8,49.4,10,36,8,4,22.0,1.16,2.0,0.11,46,26,33,10,17,6,11,21,963,70,350,382,242,37,32,46.9,43.8,479,1576,33,4,17,6,547,70,24,15,1,30,61,17,19,47.2
Matz Sels,BEL,Nott'ham Forest,GK,33.17,33,33,2970,0,0,3,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.18,74.7,39.4,0.0,,0.0,,,441,50.1,16937,100.0,97.7,36.5,1,38,2,0,5.0,0.15,0.0,0.0,1,1,1,0,0,0,0,0,969,741,955,14,0,0,0,,,469,1436,0,0,0,0,375,0,0,10,0,0,9,14,2,87.5
Max Kilman,ENG,West Ham,DF,27.94,34,34,2988,0,1,4,0,1.4,1.2,29,106,6,0.0,0.03,0.04,0.04,,,,,18.2,0.06,0.0,8.4,1511,86.9,29227,92.2,92.8,58.4,16,100,4,0,28.0,0.84,3.0,0.09,30,17,23,4,55,37,18,37,2113,428,1178,848,103,30,20,70.0,10.0,1119,2917,12,2,16,2,1404,6,17,12,2,3,135,101,48,67.8
Maxence Lacroix,FRA,Crystal Palace,DF,25.07,31,31,2756,1,1,5,0,2.8,0.8,8,59,7,0.03,0.03,0.09,0.02,,,,,20.0,0.16,0.04,11.8,1093,81.9,22521,85.3,90.9,55.3,6,66,2,1,26.0,0.85,4.0,0.13,67,40,47,15,41,16,25,50,1737,314,1060,612,72,36,13,61.5,23.1,931,1946,4,0,21,3,1024,7,31,18,1,6,121,54,44,55.1
Micky van de Ven,NED,Tottenham,DF,24.03,12,11,950,0,2,4,0,0.6,1.2,8,51,1,0.0,0.19,0.05,0.11,,,,,33.3,0.19,0.0,11.1,706,91.0,13313,91.7,96.5,62.5,2,50,1,0,11.0,1.04,2.0,0.19,10,6,14,6,9,6,3,10,862,101,442,393,36,9,8,50.0,50.0,599,1388,10,1,5,4,629,1,10,8,0,0,61,19,18,51.4
Mikel Merino,ESP,Arsenal,"MF,FW",28.85,25,15,1401,6,2,2,0,4.4,1.9,9,61,86,0.39,0.13,0.28,0.12,,,,,37.5,0.77,0.19,10.5,412,77.9,5686,87.0,78.3,53.3,15,33,24,4,39.0,2.51,4.0,0.26,38,22,29,14,17,5,12,13,709,35,127,300,291,72,17,41.2,35.3,349,638,12,4,21,22,460,86,35,20,7,12,76,57,52,52.3
Mikkel Damsgaard,DEN,Brentford,"MF,FW",24.82,33,29,2495,2,10,2,0,2.6,7.3,62,204,115,0.07,0.36,0.09,0.26,,,,,22.6,0.25,0.06,17.1,954,72.8,16253,85.4,73.5,52.8,55,144,62,15,109.0,3.93,21.0,0.76,73,40,69,42,33,2,31,25,1619,33,293,734,614,70,89,51.7,36.0,924,2615,42,9,53,42,1075,115,15,26,6,118,152,12,25,32.4
